Image_Name,Task_ID,Caption
000000562987,,a woman sitting at a table
000000369693,,two cell phones in a person's hand
000000385948,,a group of people flying kites in the sky
000000216362,,a hot dog with toppings and toppings on a tray
000000333752,,a woman talking on a cell phone on a city street
000000476453,,two gis standing in a field
000000564326,,a picture of a baseball player on a wall
000000103557,,elephant walking in the grass
000000406164,,a little girl is playing with a white microwave
000000412253,,a baby in a purple shirt
000000088616,,man wearing a blue shirt
000000445520,,a group of people standing in front of a bus
000000306883,,a woman sitting on a bus
000000581511,,a white and gold toilet with a gold lid
000000532367,,a group of girls playing soccer on a field
000000410413,,a group of people walking down a street
000000060097,,a man throwing a baseball
000000346572,,a woman holding a baby
000000090285,,two elephants in a pen
000000530492,,a woman in a kitchen brushing her teeth
000000132055,,a skateboarder doing a trick in a skate park
000000500306,,a woman is opening the refrigerator door
000000445079,,a man in a green jacket and black pants on skis
000000212900,,a bicycle parked on the beach next to a wooden post
000000260093,,a group of people standing around a motorcycle
000000154297,,a purple flower with a purple center
000000289922,,a young boy holding a tennis racket
000000515614,,a hand holding a dont
000000454168,,a man carrying a surfboard
000000350890,,a small plane sitting on a runway
000000258970,,a bottle of water
000000036291,,a baby elephant standing next to an adult elephant
000000445874,,a dog sitting on a pillow in front of a computer
000000276446,,two elephants are standing in a field with a cloudy sky
000000433610,,a person is laying on a skateboard
000000225630,,a little girl sitting on a bench with a don
000000143817,,two men standing on a tennis court holding rackets
000000358905,,a boy holding a bat
000000330146,,a plane flying in the sky
000000406688,,a group of people sitting around a table with laptops
000000503347,,a cow walking on the ground
000000531811,,a woman walking down the street
000000121460,,a large building
000000181437,,a living room with a couch and a chair
000000542356,,a woman sitting on a couch
000000241110,,a person holding a red and black scoote
000000130322,,a horse pulling a carriage
000000498736,,a gife standing in a field
000000211648,,a man in a military uniform cutting a cake
000000330738,,a man surfing on a wave in the ocean
000000378094,,two men playing a video game
000000017804,,a van parked in a parking with a satellite dish dish on top
000000385488,,two men sitting together
000000389214,,a woman taking a picture of herself in the mirror
000000145601,,a bench in front of a stone wall
000000231064,,a woman sitting on a bed
000000539935,,a dog standing in the grass
000000048021,,two gis in the wild
000000386226,,a blue sky with white clouds
000000050932,,a cat is looking out of a window
000000478734,,a man sitting on a bed
000000370282,,a bike parked on the grass
000000445703,,a group of people in a store
000000309270,,a man is working on a laptop computer
000000229892,,a man sitting at a table with a laptop
000000508920,,a man sitting in a chair
000000561290,,a train on the tracks
000000096094,,a pizza on a plate
000000392080,,a man playing a video game
000000457969,,a stack of books
000000320394,,a white toilet and a black toilet sitting on a sidewalk
000000424179,,a woman in a black coat
000000173842,,a bus is driving down the street in a city
000000339570,,a train on the tracks
000000139852,,a woman riding a horse
000000181708,,a blue and yellow tent
000000501948,,a horse walking on concrete
000000276732,,a group of zebras
000000046366,,a man and a dog are on a trail
000000580764,,a man sitting on a bench talking on a cell
000000029922,,a man in a black shirt
000000127218,,a man and woman sitting on a couch in a living room
000000082234,,a white toilet
000000526254,,a baby laying on a bed with a stuffed animal
000000069098,,a living room with a television and a bookcase
000000325705,,a plate with a piece of cake on it
000000319137,,a man is surfing in a river
000000300570,,a man and a dog flying a kite
000000278593,,a man kneeling on the ground next to a parked car
000000080897,,a baseball player holding a bat
000000096545,,a plane flying in the sky
000000483839,,a woman laying on a bed
000000378689,,a baseball player is swinging at a pitch
000000356835,,a yellow school bus
000000271664,,a pizza in a box
000000222147,,a crowd of people walking down a street
000000462312,,a group of people sitting on a bench
000000276421,,a group of young boys playing baseball on a field
000000410720,,a polar bear walking on rocks
000000284586,,a baseball player swinging a bat
